Internet_SegurancaOnline,Internet_SuporteTecnico,Permanencia_0-5,Permanencia_61-70,Permanencia_71-80,Conta_Contrato_MesAMes,Conta_Contrato_UmAno,Conta_Contrato_DoisAnos,Conta_FormaPagamento_ChequeEletronico,CobrancasConta_0-500,Rotatividade
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
1,1,0,0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
1,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
1,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
1,1,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
1,1,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,1,0,1,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,1,0,1,0,1,0,1
1,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
1,1,0,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,1,0,1
1,1,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
1,1,0,0,0,0,1,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
1,1,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,0,1
1,1,0,0,0,1,0,0,1,0,1
0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,1
0,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
1,1,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,1,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,0,0,0,1,1
1,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,1,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,1,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,1,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
1,1,0,1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
1,1,0,0,1,0,0,1,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
1,1,0,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
1,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1,1
0,1,0,0,1,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
0,1,0,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1
0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,1,0,1
1,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,1,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1
0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,1
1,1,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1
